province;city;postal code;latitude;longitude
Namur;Foy-Notre-Dame;5504;502.471.350.000;49.890.730.000
Namur;Sorinnes;5503;502.596.210.000;49.826.310.000
Namur;Thynes;5502;502.802.750.000;49.849.900.000
Namur;Lisogne;5501;502.808.680.000;49.712.150.000
Namur;Furfooz;5500;502.227.490.000;49.601.480.000
Namur;Falmignoul;5500;502.036.240.000;48.915.700.000
Namur;Falmagne;5500;501.997.730.000;48.972.010.000
Namur;Dréhance;5500;502.366.010.000;49.386.150.000
Namur;Dinant;5500;502.606.080.000;49.121.850.000
Namur;Bouvignes-sur-Meuse;5500;502.726.750.000;48.974.710.000
Namur;Anseremme;5500;502.384.170.000;49.075.290.000
Namur;Tillier;5380;505.445.460.000;49.459.060.000
Namur;Pontillas;5380;505.469.150.000;50.225.570.000
Namur;Noville-les-Bois;5380;505.570.570.000;49.856.090.000
Namur;Marchovelette;5380;505.252.860.000;49.400.520.000
Namur;Hingeon;5380;505.236.270.000;50.068.940.000
Namur;Hemptinne (Fernelmont);5380;506.005.010.000;49.912.010.000
Namur;Franc-Waret;5380;505.201.150.000;49.777.150.000
Namur;Forville;5380;505.748.460.000;50.023.560.000
Namur;Fernelmont;5380;505.616.430.000;49.857.190.000
Namur;Cortil-Wodon;5380;505.678.250.000;49.583.660.000;,
Namur;Bierwart;5380;505.559.580.000;50.363.690.000;,
Namur;Waillet;5377;502.600.630.000;53.054.250.000;,
Namur;Somme-Leuze;5377;503.367.050.000;53.668.340.000;,
Namur;Sinsin;5377;502.756.440.000;52.603.700.000;,
Namur;Noiseux;5377;502.990.910.000;53.746.770.000;,
Namur;Nettinne;5377;502.913.950.000;52.623.980.000;,
Namur;Hogne;5377;502.491.610.000;52.799.430.000;,
Namur;Heure, Namur;5377;502.937.630.000;52.958.660.000;
Namur;Bonsin;5377;503.724.480.000;53.807.550.000;,
Namur;Baillonville;5377;502.883.210.000;53.369.310.000;,
Namur;Miécret;5376;503.683.730.000;52.516.920.000;,
Namur;Maffe;5374;503.538.390.000;53.116.760.000;,
Namur;Méan;5372;503.619.240.000;53.341.480.000;,
Namur;Verlée;5370;503.643.830.000;52.745.450.000;,
Namur;Porcheresse, Namur;5370;503.374.200.000;52.378.370.000;
Namur;Jeneffe, Namur;5370;503.553.900.000;52.449.510.000;
Namur;Havelange;5370;503.876.490.000;52.416.420.000;,
Namur;Flostoy;5370;503.881.120.000;51.835.410.000;,
Namur;Barvaux-Condroz;5370;503.289.660.000;52.609.270.000;,
Namur;Schaltin;5364;503.582.820.000;51.235.250.000;,
Namur;Emptinne;5363;503.247.910.000;51.212.890.000;,
Namur;Achet;5362;503.329.930.000;51.749.190.000;,
Namur;Scy;5361;503.074.620.000;52.091.700.000;,
Namur;Mohiville;5361;503.199.330.000;51.909.460.000;,
Namur;Natoye;5360;503.351.980.000;50.644.560.000;,
Namur;Hamois;5360;503.412.900.000;51.605.670.000;,
Namur;Jallet;5354;504.462.000.000;51.928.620.000;,
Namur;Goesnes;5353;504.399.110.000;52.209.490.000;,
Namur;Perwez-Haillot;5352;504.529.630.000;51.710.620.000;,
Namur;Haillot;5351;504.406.920.000;51.493.990.000;,
Namur;Ohey;5350;504.357.430.000;51.207.430.000;,
Namur;Evelette;5350;504.119.220.000;51.737.050.000;,
Namur;Sorée;5340;503.993.460.000;51.254.170.000;,
Namur;Mozet;5340;504.410.070.000;49.858.720.000;,
Namur;Haltinne;5340;504.518.120.000;50.786.480.000;,
Namur;Gesves;5340;504.024.330.000;50.753.320.000;,
Namur;Faulx-les-Tombes;5340;504.264.480.000;50.250.460.000;,
Namur;Courrière;5336;503.778.950.000;49.847.150.000;,
Namur;Florée;5334;503.728.510.000;50.701.700.000;,
Namur;Sorinne-la-Longue;5333;503.893.310.000;50.254.890.000;,
Namur;Crupet;5332;503.484.540.000;49.605.570.000;,
Namur;Sart-Bernard;5330;504.050.700.000;49.498.580.000;,
Namur;Maillen;5330;503.780.380.000;49.703.050.000;,
Namur;Assesse;5330;503.717.200.000;50.222.040.000;,
Namur;Waret-la-Chaussée;5310;505.440.010.000;49.283.770.000;,
Namur;Upigny;5310;505.716.170.000;48.722.390.000;,
Namur;Taviers, Namur;5310;506.170.580.000;49.307.080.000;
Namur;Saint-Germain;5310;505.726.930.000;48.423.500.000;,
Namur;Noville-sur-Méhaigne;5310;506.079.350.000;48.905.200.000;,
Namur;Mehaigne;5310;505.938.060.000;48.756.820.000;,
Namur;Longchamps, Namur;5310;505.772.160.000;48.967.470.000;
Namur;Liernu;5310;505.841.810.000;48.267.340.000;,
Namur;Leuze, Namur;5310;505.600.880.000;49.099.840.000;
Namur;Hanret;5310;505.842.880.000;49.450.350.000;,
Namur;Eghezée;5310;505.917.190.000;49.064.550.000;,
Namur;Dhuy;5310;505.596.410.000;48.592.150.000;,
Namur;Branchon;5310;506.291.820.000;49.725.300.000;,
Namur;Boneffe;5310;506.253.800.000;49.575.920.000;,
Namur;Bolinne;5310;506.009.710.000;49.284.970.000;,
Namur;Aische-en-Refail;5310;505.998.600.000;48.357.290.000;,
Namur;Vezin;5300;504.947.630.000;50.070.430.000;,
Namur;Thon;5300;504.641.170.000;50.120.220.000;,
Namur;Seilles;5300;505.002.030.000;50.780.070.000;,
Namur;Sclayn;5300;504.896.120.000;50.277.060.000
Namur;Namêche;5300;504.698.410.000;49.948.450.000
Namur;Maizeret;5300;504.596.240.000;49.789.220.000
Namur;Landenne;5300;505.133.300.000;50.632.260.000
Namur;Coutisse;5300;504.629.460.000;51.168.330.000
Namur;Bonneville;5300;504.707.970.000;50.336.190.000
Namur;Andenne;5300;504.897.590.000;50.968.910.000
Namur;Spy;5190;504.822.130.000;47.042.880.000
Namur;Saint-Martin;5190;505.009.510.000;46.473.660.000
Namur;Onoz;5190;504.925.110.000;46.703.060.000
Namur;Moustier-sur-Sambre;5190;504.662.220.000;46.976.910.000
Namur;Mornimont;5190;504.553.350.000;47.039.760.000
Namur;Jemeppe-sur-Sambre;5190;504.655.950.000;46.682.640.000
Namur;Ham-sur-Sambre;5190;504.444.290.000;46.734.130.000
Namur;Balâtre;5190;504.985.760.000;46.384.940.000
Namur;Rivière;5170;503.580.220.000;48.722.230.000
Namur;Profondeville;5170;503.777.330.000;48.695.410.000;,
Namur;Lustin;5170;503.796.100.000;48.960.320.000;,
Namur;Lesve;5170;503.736.470.000;47.794.120.000;,
Namur;Bois-de-Villers;5170;503.884.450.000;48.229.100.000;,
Namur;Arbre, Namur;5170;503.662.380.000;48.201.550.000;
Namur;Soye, Namur;5150;504.493.040.000;47.304.220.000;
Namur;Franière;5150;504.404.680.000;47.300.140.000;,
Namur;Floriffoux;5150;504.521.050.000;47.696.440.000;,
Namur;Floreffe;5150;504.350.150.000;47.578.870.000;,
Namur;Tongrinne;5140;505.156.890.000;46.241.470.000;,
Namur;Sombreffe;5140;505.229.840.000;46.008.690.000;,
Namur;Ligny;5140;505.120.270.000;45.749.140.000;,
Namur;Boignée;5140;505.018.640.000;46.140.590.000;,
Namur;Saint-Denis-Bovesse;5081;505.354.650.000;47.848.510.000;,
Namur;Meux;5081;505.518.940.000;48.010.080.000;,
Namur;Bovesse;5081;505.175.910.000;47.783.830.000;,
Namur;Warisoulx;5080;505.341.810.000;48.612.650.000
Namur;Villers-lez-Heest;5080;505.299.190.000;48.455.240.000
Namur;Rhisnes;5080;505.049.000.000;48.036.960.000
Namur;La Bruyère;5080;505.301.240.000;48.214.380.000
Namur;Emines;5080;505.152.270.000;48.411.540.000
Namur;Vitrival;5070;503.938.270.000;46.568.760.000
Namur;Sart-Saint-Laurent;5070;504.022.460.000;47.416.130.000
Namur;Sart-Eustache;5070;503.760.870.000;45.989.100.000
Namur;Le Roux;5070;503.889.570.000;46.237.090.000
Namur;Fosses-la-Ville;5070;503.971.290.000;46.970.750.000
Namur;Aisemont;5070;504.046.870.000;46.513.310.000
Namur;Velaine-sur-Sambre;5060;504.684.310.000;46.169.790.000
Namur;Tamines;5060;504.316.250.000;46.116.400.000
Namur;Sambreville;5060;504.459.650.000;46.219.640.000
Namur;Moignelée;5060;504.383.220.000;45.857.530.000
Namur;Keumiée;5060;504.648.710.000;45.944.400.000
Namur;Falisolle;5060;504.184.700.000;46.212.810.000
Namur;Auvelais;5060;504.469.500.000;46.350.160.000
Namur;Arsimont;5060;504.266.650.000;46.379.140.000
Namur;Mazy;5032;505.115.880.000;46.770.710.000
Namur;Isnes;5032;505.062.000.000;47.290.720.000
Namur;Corroy-le-Château;5032;505.361.960.000;46.588.370.000
Namur;Bothey;5032;505.218.160.000;46.526.180.000
Namur;Bossière;5032;505.184.710.000;46.968.330.000
Namur;Grand-Leez;5031;505.817.820.000;47.656.630.000
Namur;Sauvenière;5030;505.812.550.000;47.240.750.000
Namur;Lonzée;5030;505.530.110.000;47.263.070.000
Namur;Grand-Manil;5030;505.572.330.000;46.826.730.000
Namur;Gembloux;5030;505.612.080.000;46.937.500.000
Namur;Ernage;5030;505.939.300.000;46.741.630.000
Namur;Beuzet;5030;505.329.190.000;47.417.010.000
Namur;Loyers;5101;504.639.020.000;49.503.560.000
Namur;Lives-sur-Meuse;5101;504.652.890.000;49.252.310.000
Namur;Erpent;5101;504.510.110.000;49.071.520.000
Namur;Wierde;5100;504.248.910.000;49.504.470.000
Namur;Wépion;5100;504.197.520.000;48.712.430.000
Namur;Naninne;5100;504.182.750.000;49.194.700.000
Namur;Jambes;5100;504.578.100.000;48.681.710.000
Namur;Dave;5100;504.151.200.000;48.867.500.000
Namur;Marche-les-Dames;5024;504.938.870.000;49.720.170.000
Namur;Gelbressée;5024;505.098.000.000;49.540.280.000
Namur;Cognelée;5022;505.140.860.000;49.038.780.000
Namur;Boninne;5021;504.952.460.000;49.272.260.000
Namur;Vedrin;5020;505.036.360.000;48.725.940.000
Namur;Temploux;5020;504.833.180.000;47.509.100.000
Namur;Suarlée;5020;504.805.880.000;47.797.800.000
Namur;Malonne;5020;504.360.660.000;47.947.120.000
Namur;Flawinne;5020;504.605.600.000;47.981.760.000
Namur;Daussoulx;5020;505.166.590.000;48.757.260.000
Namur;Champion;5020;504.975.350.000;49.014.510.000
Namur;Bouge;5004;504.721.430.000;48.946.540.000
Namur;Saint-Marc;5003;504.931.290.000;48.473.850.000
Namur;Saint-Servais;5002;504.752.550.000;48.415.270.000
Namur;Belgrade;5001;504.715.080.000;48.259.740.000
Namur;Namur;5000;504.640.740.000;48.604.300.000
Namur;Beez;5000;504.687.500.000;49.218.060.000
Luxembourg;Soy;6997;502.856.280.000;55.109.110.000
Luxembourg;Mormont;6997;503.254.260.000;55.929.950.000
Luxembourg;Erezée;6997;502.921.540.000;55.585.810.000
Luxembourg;Amonines;6997;502.658.410.000;55.558.760.000
Luxembourg;Marenne;6990;502.424.470.000;54.165.480.000
Luxembourg;Hotton;6990;502.677.100.000;54.465.490.000
Luxembourg;Hampteau;6990;502.577.950.000;54.726.030.000
Luxembourg;Fronville;6990;502.941.150.000;54.225.320.000
Luxembourg;Rendeux;6987;502.338.120.000;55.039.370.000
Luxembourg;Marcourt;6987;502.144.570.000;55.280.560.000
Luxembourg;Hodister;6987;502.006.740.000;54.955.150.000
Luxembourg;Beffe;6987;502.449.720.000;55.235.120.000
Luxembourg;Halleux;6986;501.712.220.000;55.011.280.000
Luxembourg;Hives;6984;501.500.310.000;55.786.850.000
Luxembourg;Ortho;6983;501.248.740.000;56.129.230.000
Luxembourg;Samrée;6982;502.086.310.000;56.393.700.000
Luxembourg;La-Roche-en-Ardenne;6980;501.827.440.000;55.756.900.000
Luxembourg;Beausaint;6980;501.696.750.000;55.527.220.000
Luxembourg;Erneuville;6972;501.137.430.000;55.510.810.000
Luxembourg;Champlon;6971;501.075.560.000;55.021.090.000
Luxembourg;Tenneville;6970;500.921.520.000;55.241.940.000
Luxembourg;Vaux-Chavanne;6960;503.023.900.000;56.970.760.000
Luxembourg;Odeigne;6960;502.575.320.000;56.824.790.000
Luxembourg;Manhay;6960;502.923.030.000;56.756.840.000
Luxembourg;Malempré;6960;502.812.900.000;57.155.790.000
Luxembourg;Harre;6960;503.511.980.000;56.580.860.000
Luxembourg;Grandmenil;6960;502.918.150.000;56.583.150.000
Luxembourg;Dochamps;6960;502.344.810.000;56.220.690.000
Luxembourg;Masbourg;6953;501.125.630.000;53.119.250.000
Luxembourg;Lesterny;6953;501.125.960.000;52.815.060.000
Luxembourg;Forrières;6953;501.321.310.000;52.770.190.000
Luxembourg;Ambly;6953;501.419.670.000;53.130.650.000
Luxembourg;Grune;6952;501.566.550.000;53.812.810.000
Luxembourg;Bande;6951;501.669.670.000;54.154.420.000
Luxembourg;Nassogne;6950;501.286.240.000;53.406.280.000
Luxembourg;Harsin;6950;501.727.690.000;53.496.160.000
Luxembourg;Villers-Sainte-Gertrude;6941;503.608.490.000;55.788.530.000
Luxembourg;Tohogne;6941;503.798.060.000;54.801.310.000
Luxembourg;Izier;6941;503.838.000.000;55.793.400.000
Luxembourg;Heyd;6941;503.467.040.000;55.599.130.000
Luxembourg;Borlon;6941;503.790.760.000;54.051.210.000;,
Luxembourg;Bomal-sur-Ourthe;6941;503.768.150.000;55.239.400.000;,
Luxembourg;Bende;6941;504.174.110.000;54.139.220.000;,
Luxembourg;Wéris;6940;503.262.310.000;55.303.760.000;,
Luxembourg;Septon;6940;503.566.020.000;54.228.580.000;,
Luxembourg;Grandhan;6940;503.298.780.000;54.080.850.000;,
Luxembourg;Durbuy;6940;503.528.180.000;54.565.090.000;,
Luxembourg;Barvaux-sur-Ourthe;6940;503.505.200.000;54.931.210.000;,
Luxembourg;Porcheresse, Luxembourg;6929;499.778.160.000;50.870.920.000;
Luxembourg;Haut-Fays;6929;500.013.440.000;50.179.000.000;,
Luxembourg;Gembes;6929;499.967.190.000;50.633.330.000;,
Luxembourg;Daverdisse;6929;500.210.510.000;51.180.600.000;,
Luxembourg;Tellin;6927;500.811.880.000;52.166.120.000;,
Luxembourg;Resteigne;6927;500.826.010.000;51.770.090.000;,
Luxembourg;Grupont;6927;500.926.340.000;52.801.110.000;,
Luxembourg;Bure;6927;500.887.960.000;52.598.160.000;,
Luxembourg;Lomprez;6924;500.764.090.000;50.924.560.000
Luxembourg;Halma;6922;500.751.610.000;51.359.760.000
Luxembourg;Chanly;6921;500.788.720.000;51.564.630.000
Luxembourg;Wellin;6920;500.815.880.000;51.137.670.000
Luxembourg;Sohier;6920;500.687.720.000;50.708.520.000
Luxembourg;Waha;6900;502.119.550.000;53.432.070.000
Luxembourg;Roy;6900;501.880.840.000;54.094.240.000
Luxembourg;On;6900;501.721.370.000;52.886.530.000
Luxembourg;Marche-en-Famenne;6900;502.285.820.000;53.443.150.000
Luxembourg;Humain;6900;502.049.560.000;52.567.090.000
Luxembourg;Hargimont;6900;501.837.760.000;53.083.400.000
Luxembourg;Aye;6900;502.243.010.000;53.001.020.000
Luxembourg;Villance;6890;499.710.590.000;52.208.880.000
Luxembourg;Transinne;6890;499.987.670.000;52.029.080.000
Luxembourg;Smuid;6890;500.186.520.000;52.661.410.000
Luxembourg;Redu;6890;500.070.660.000;51.601.780.000
Luxembourg;Ochamps;6890;499.250.300.000;52.772.120.000
Luxembourg;Libin;6890;499.805.560.000;52.560.730.000
Luxembourg;Anloy;6890;499.502.720.000;52.216.380.000
Luxembourg;Straimont;6887;497.963.610.000;53.803.700.000
Luxembourg;Saint-Médard;6887;498.165.410.000;53.280.910.000
